Company;Market Value;Revenue;Profits;Assets;Rank;Sector;Industry;Continent;Country;Headquarters;State;CEO;Forbes Webpage
Hong Leong Financial;4,899;2,378;0,5137;55,734;1287;Financials;Investment Services;Asia;Malaysia;Malaysia;;Yee Choong;http://www.forbes.com/companies/hong-leong-financial/
Savola Group;9,708;7,307;0,5525;7,073;1289;Consumer Staples;Food Processing;Asia;Saudi Arabia;Saudi Arabia;;Abdullah Rehaimi;http://www.forbes.com/companies/savola-group/
Saudi Arabian Mining;11,659;2,877;0,3619;22,53;1290;Materials;Diversified Metals & Mining;Asia;Saudi Arabia;Saudi Arabia;;Khalid Al-Mudaifer;http://www.forbes.com/companies/saudi-arabian-mining/
Antofagasta;10,578;5,281;0,457;12,815;1291;Materials;Diversified Metals & Mining;Europe;United Kingdom;United Kingdom;;Diego Hernandez Cabrera;http://www.forbes.com/companies/antofagasta/
Rockwell Collins;12,762;5,164;0,64;7,14;1292;Industrials;Aerospace & Defense;North America;United States;Iowa;Iowa;Robert Ortberg;http://www.forbes.com/companies/rockwell-collins/
Concho Resources;14,539;2,66;0,5321;11,8;1293;Energy;Oil & Gas Operations;North America;United States;Texas;Texas;Timothy Leach;http://www.forbes.com/companies/concho-resources/
Melco Crown Entertainment;11,833;4,802;0,6083;10,433;1294;Consumer Discretionary;Casinos & Gaming;Asia;Hong Kong;Hong Kong;;Yau Ho;http://www.forbes.com/companies/melco-crown-entertainment/
Tokyo Electron;12,436;6,146;0,5071;6,936;1294;Information Technology;Semiconductors;Asia;Japan;Japan;;Tetsuro Higashi;http://www.forbes.com/companies/tokyo-electron/
LabCorp;12,638;6,012;0,5112;7,302;1296;Health Care;Healthcare Services;North America;United States;North Carolina;North Carolina;David King;http://www.forbes.com/companies/labcorp/
Metropolitan Bank & Trust;7,148;1,762;0,4476;35,892;1297;Financials;Regional Banks;Asia;Philippines;Philippines;;George Ty;http://www.forbes.com/companies/metropolitan-bank-trust/
China International Marine;5,929;11,295;0,4009;14,148;1298;Industrials;Heavy Equipment;Asia;China;China;;Bo Mai;http://www.forbes.com/companies/china-international-marine/
News Corp;9,405;8,694;0,269;15,97;1299;Consumer Discretionary;Broadcasting & Cable;North America;United States;New York;New York;Robert Thomson;http://www.forbes.com/companies/news-corp/
