Company;Market Value;Revenue;Profits;Assets;Rank;Sector;Industry;Continent;Country;Headquarters;State;CEO;Forbes Webpage
ICBC;278,327;166,796;44,7572;3322,043;1;Financials;Major Banks;Asia;China;China;;Jiang Jianqing;http://www.forbes.com/companies/icbc/
China Construction Bank;212,945;130,473;37,0389;2698,925;2;Financials;Regional Banks;Asia;China;China;;Zhang Jianguo;http://www.forbes.com/companies/china-construction-bank/
Agricultural Bank of China;189,879;129,221;29,1245;2574,815;3;Financials;Regional Banks;Asia;China;China;;Zhang Yun;http://www.forbes.com/companies/agricultural-bank-of-china/
Bank of China;199,13;120,297;27,5268;2458,336;4;Financials;Major Banks;Asia;China;China;;Chen Siqing;http://www.forbes.com/companies/bank-of-china/
Berkshire Hathaway;354,813;194,673;19,872;534,618;5;Financials;Investment Services;North America;United States;Nebraska;Nebraska;Warren Buffett;http://www.forbes.com/companies/berkshire-hathaway/
JPMorgan Chase;225,451;97,817;21,219;2593,562;6;Financials;Major Banks;North America;United States;New York;New York;Jamie Dimon;http://www.forbes.com/companies/jpmorgan-chase/
Exxon Mobil;357,094;376,24;32,52;349,493;7;Energy;Oil & Gas Operations;North America;United States;Texas;Texas;Rex Tillerson;http://www.forbes.com/companies/exxon-mobil/
PetroChina;334,578;333,386;17,3883;387,714;8;Energy;Oil & Gas Operations;Asia;China;China;;Wang Dongjin;http://www.forbes.com/companies/petrochina/
General Electric;253,5;148,451;15,218;648,349;9;Industrials;Conglomerates;North America;United States;Connecticut;Connecticut;Jeffrey Immelt;http://www.forbes.com/companies/general-electric/
Wells Fargo;278,273;90,403;23,057;1701,408;10;Financials;Major Banks;North America;United States;California;California;John Stumpf;http://www.forbes.com/companies/wells-fargo/
Toyota Motor;239,045;252,185;19,1204;389,693;11;Consumer Discretionary;Auto & Truck Manufacturers;Asia;Japan;Japan;;Akio Toyoda;http://www.forbes.com/companies/toyota-motor/
Apple;741,782;199,378;44,462;261,894;12;Information Technology;Computer Hardware;North America;United States;California;California;Timothy Cook;http://www.forbes.com/companies/apple/
Royal Dutch Shell;195,38;420,371;14,8841;353,116;13;Energy;Oil & Gas Operations;Europe;Netherlands;Netherlands;;Ben Van Beurden;http://www.forbes.com/companies/royal-dutch-shell/
Volkswagen Group;126,017;268,549;14,388;424,98;14;Consumer Discretionary;Auto & Truck Manufacturers;Europe;Germany;Germany;;Martin Winterkorn;http://www.forbes.com/companies/volkswagen-group/
HSBC Holdings;167,746;81,086;13,5367;2634,139;15;Financials;Major Banks;Europe;United Kingdom;United Kingdom;;Stuart Gulliver;http://www.forbes.com/companies/hsbc-holdings/
Chevron;201,029;191,755;19,241;266,026;16;Energy;Oil & Gas Operations;North America;United States;California;California;John Watson;http://www.forbes.com/companies/chevron/
Wal-Mart Stores;261,279;485,651;16,363;203,706;16;Consumer Discretionary;Discount Stores;North America;United States;Arkansas;Arkansas;C Mcmillon;http://www.forbes.com/companies/wal-mart-stores/
Samsung Electronics;199,356;195,891;21,9278;209,637;18;Information Technology;Semiconductors;Asia;South Korea;South Korea;;Oh-Hyun Kwon;http://www.forbes.com/companies/samsung-electronics/
Citigroup;156,663;93,929;7,203;1846,006;19;Financials;Major Banks;North America;United States;New York;New York;Mike Corbat;http://www.forbes.com/companies/citigroup/
China Mobile;271,486;104,086;17,724;208,97;20;Telecommunication Services;Telecommunications services;Asia;China;China;;Yue Li;http://www.forbes.com/companies/china-mobile/
Allianz;82,007;128,401;8,2505;978,98;21;Financials;Diversified Insurance;Europe;Germany;Germany;;Michael Diekmann;http://www.forbes.com/companies/allianz/
Verizon Communications;202,49;127,079;9,625;232,708;22;Telecommunication Services;Telecommunications services;North America;United States;New York;New York;Lowell Mcadam;http://www.forbes.com/companies/verizon-communications/
Bank of America;163,171;97,021;4,833;2114,11;23;Financials;Major Banks;North America;United States;North Carolina;North Carolina;Brian Moynihan;http://www.forbes.com/companies/bank-of-america/
Sinopec;121,023;427,595;7,6975;233,941;24;Energy;Oil & Gas Operations;Asia;China;China;;Li Chunguang;http://www.forbes.com/companies/sinopec/
Microsoft;340,826;93,268;20,675;174,848;25;Information Technology;Software & Programming;North America;United States;Washington;Washington;Satya Nadella;http://www.forbes.com/companies/microsoft/
Daimler;103,272;172,268;9,2347;229,468;26;Consumer Discretionary;Auto & Truck Manufacturers;Europe;Germany;Germany;;Dieter Zetsche;http://www.forbes.com/companies/daimler/
AT&T;172,988;132,447;6,224;292,829;27;Telecommunication Services;Telecommunications services;North America;United States;Texas;Texas;Randall Stephenson;http://www.forbes.com/companies/att/
Gazprom;62,486;157,974;24,0999;356,029;27;Energy;Oil & Gas Operations;Asia;Russia;Russia;;Alexei Miller;http://www.forbes.com/companies/gazprom/
AXA Group;64,247;153,838;6,2675;1016,563;29;Financials;Diversified Insurance;Europe;France;France;;Henri De Castries;http://www.forbes.com/companies/axa-group/
Nestle;247,294;100,077;15,7918;134,303;30;Consumer Staples;Food Processing;Europe;Switzerland;Switzerland;;Paul Bulcke;http://www.forbes.com/companies/nestle/
Banco Santander;109,351;56,361;7,7146;1532,282;31;Financials;Major Banks;Europe;Spain;Spain;;José Álvarez;http://www.forbes.com/companies/banco-santander/
Ping An Insurance Group;113,846;75,349;6,3747;645,698;32;Financials;Diversified Insurance;Asia;China;China;;Ming Ma;http://www.forbes.com/companies/ping-an-insurance/
Mitsubishi UFJ Financial;90,923;49,156;10,6414;2328,522;33;Financials;Regional Banks;Asia;Japan;Japan;;Nobuyuki Hirano;http://www.forbes.com/companies/mitsubishi-ufj-financial/
Johnson & Johnson;275,72;74,155;16,323;131,119;34;Health Care;Medical Equipment & Supplies;North America;United States;New Jersey;New Jersey;Alex Gorsky;http://www.forbes.com/companies/johnson-johnson/
Total;120,222;211,355;4,244;229,798;35;Energy;Oil & Gas Operations;Europe;France;France;;Patrick Pouyanné;http://www.forbes.com/companies/total/
Procter & Gamble;224,25;81,669;9,532;136,263;36;Consumer Staples;Household/Personal Care;North America;United States;Ohio;Ohio;Alan Lafley;http://www.forbes.com/companies/procter-gamble/
China Life Insurance;160,495;71,439;5,2194;362,116;37;Financials;Life & Health Insurance;Asia;China;China;;Lin Dairen;http://www.forbes.com/companies/china-life-insurance/
Bank of Communications;71,248;53,613;10,6883;1010,364;38;Financials;Regional Banks;Asia;China;China;;Peng Chun;http://www.forbes.com/companies/bank-of-communications/
Google;367,587;65,977;13,704;131,133;39;Information Technology;Computer Services;North America;United States;California;California;Lawrence Page;http://www.forbes.com/companies/google/
Vodafone;88,035;66,306;77,4014;200,48;40;Telecommunication Services;Telecommunications services;Europe;United Kingdom;United Kingdom;;Vittorio Colao;http://www.forbes.com/companies/vodafone/
BP;120,813;352,753;3,4944;284,305;41;Energy;Oil & Gas Operations;Europe;United Kingdom;United Kingdom;;Robert Dudley;http://www.forbes.com/companies/bp/
American International Group;75,037;67,504;7,562;515,581;42;Financials;Diversified Insurance;North America;United States;New York;New York;Peter Hancock;http://www.forbes.com/companies/american-international-group/
Itaú Unibanco Holding;63,727;76,571;9,1573;424,047;42;Financials;Regional Banks;South America;Brazil;Brazil;;Roberto Setúbal;http://www.forbes.com/companies/itau-unibanco-holding/
IBM;160,164;93,357;12,022;117,532;44;Information Technology;Computer Services;North America;United States;New York;New York;Virginia Rometty;http://www.forbes.com/companies/ibm/
BMW Group;81,445;106,648;7,6907;187,319;45;Consumer Discretionary;Auto & Truck Manufacturers;Europe;Germany;Germany;;Norbert Reithofer;http://www.forbes.com/companies/bmw-group/
Comcast;147,768;68,775;8,38;159,339;46;Consumer Discretionary;Broadcasting & Cable;North America;United States;Pennsylvania;Pennsylvania;Brian Roberts;http://www.forbes.com/companies/comcast/
Commonwealth Bank;117,07;39,576;8,0748;696,182;47;Financials;Major Banks;Australia;Australia;Australia;;Ian Narev;http://www.forbes.com/companies/commonwealth-bank/
Pfizer;211,719;49,605;9,081;169,274;48;Health Care;Pharmaceuticals;North America;United States;New York;New York;Ian Read;http://www.forbes.com/companies/pfizer/
Goldman Sachs Group;86,474;40,085;8,477;856,24;49;Financials;Investment Services;North America;United States;New York;New York;Lloyd Blankfein;http://www.forbes.com/companies/goldman-sachs-group/
BHP Billiton;119,547;63,096;9,967;146,081;50;Materials;Diversified Metals & Mining;Australia;Australia;Australia;;Andrew Mackenzie;http://www.forbes.com/companies/bhp-billiton/
MetLife;57,271;70,509;6,309;902,337;50;Financials;Diversified Insurance;North America;United States;New York;New York;Steven Kandarian;http://www.forbes.com/companies/metlife/
Novartis;272,634;53,564;10,1401;125,766;52;Health Care;Pharmaceuticals;Europe;Switzerland;Switzerland;;Joseph Jimenez;http://www.forbes.com/companies/novartis/
Royal Bank of Canada;89,306;38,869;8,3281;857,049;53;Financials;Major Banks;North America;Canada;Canada;;David Mckay;http://www.forbes.com/companies/royal-bank-of-canada/
Siemens;97,671;97,369;6,6588;131,568;54;Industrials;Conglomerates;Europe;Germany;Germany;;Josef Käser;http://www.forbes.com/companies/siemens/
China Merchants Bank;64,043;45,474;9,0719;762,706;55;Financials;Regional Banks;Asia;China;China;;Li Jianhong;http://www.forbes.com/companies/china-merchants-bank/
Prudential;64,526;99,001;3,6488;564,506;56;Financials;Life & Health Insurance;Europe;United Kingdom;United Kingdom;;Cheick Thiam;http://www.forbes.com/companies/prudential/
Anheuser-Busch InBev;204,569;47,084;9,2395;144,888;57;Consumer Staples;Beverages;Europe;Belgium;Belgium;;Carlos De Brito;http://www.forbes.com/companies/anheuser-busch-inbev/
Nippon Telegraph & Tel;71,531;104,7;5,2065;172,17;58;Telecommunication Services;Telecommunications services;Asia;Japan;Japan;;Hiroo Unoura;http://www.forbes.com/companies/nippon-tel-tel/
Rosneft;51,1;128,977;9,0128;149,972;59;Energy;Oil & Gas Operations;Asia;Russia;Russia;;Igor Sechin;http://www.forbes.com/companies/rosneft/
Westpac Banking Group;94,152;35,555;6,9494;674,525;60;Financials;Major Banks;Australia;Australia;Australia;;Brian Hartzer;http://www.forbes.com/companies/westpac-banking/
Banco Bradesco;51,372;66,708;6,5063;403,072;61;Financials;Regional Banks;South America;Brazil;Brazil;;Luiz Trabuco Cappi;http://www.forbes.com/companies/banco-bradesco/
Softbank;70,286;80,644;5,8408;168,801;62;Telecommunication Services;Telecommunications services;Asia;Japan;Japan;;Masayoshi Son;http://www.forbes.com/companies/softbank/
Honda Motor;61,359;117,055;5,6253;148,67;63;Consumer Discretionary;Auto & Truck Manufacturers;Asia;Japan;Japan;;Takahiro Hachigo;http://www.forbes.com/companies/honda-motor/
General Motors;59,036;155,929;3,949;177,677;64;Consumer Discretionary;Auto & Truck Manufacturers;North America;United States;Michigan;Michigan;Mary Barra;http://www.forbes.com/companies/general-motors/
UnitedHealth Group;112,006;130,5;5,619;86,382;65;Health Care;Managed Health Care;North America;United States;Minnesota;Minnesota;Stephen Hemsley;http://www.forbes.com/companies/unitedhealth-group/
TD Bank Group;80,371;32,741;6,9968;851,891;66;Financials;Major Banks;North America;Canada;Canada;;Bharat Masrani;http://www.forbes.com/companies/td-bank-group/
Intel;147,197;55,87;11,704;91,956;67;Information Technology;Semiconductors;North America;United States;California;California;Brian Krzanich;http://www.forbes.com/companies/intel/
EDF;46,266;96,663;4,6903;324,28;68;Utilities;Electric Utilities;Europe;France;France;;Jean-Bernard Lévy;http://www.forbes.com/companies/edf/
Ford Motor;63,598;144,077;3,187;208,527;69;Consumer Discretionary;Auto & Truck Manufacturers;North America;United States;Michigan;Michigan;Mark Fields;http://www.forbes.com/companies/ford-motor/
Deutsche Telekom;85,013;83,112;3,8785;156,532;70;Telecommunication Services;Telecommunications services;Europe;Germany;Germany;;Timotheus Höttges;http://www.forbes.com/companies/deutsche-telekom/
BASF;93,536;98,589;6,8378;90,172;71;Materials;Diversified Chemicals;Europe;Germany;Germany;;Kurt Bock;http://www.forbes.com/companies/basf/
Boeing;105,627;90,784;5,441;99,198;72;Industrials;Aerospace & Defense;North America;United States;Illinois;Illinois;W Mcnerney Jr;http://www.forbes.com/companies/boeing/
Industrial Bank;57,893;39,426;7,55;650,798;73;Financials;Regional Banks;Asia;China;China;;Li Renjie;http://www.forbes.com/companies/industrial-bank/
UBS;74,717;39,784;3,901;1069,268;73;Financials;Regional Banks;Europe;Switzerland;Switzerland;;Sergio Ermotti;http://www.forbes.com/companies/ubs/
ANZ;77,583;32,613;6,6816;676,701;75;Financials;Major Banks;Australia;Australia;Australia;;Michael Pearson Smith;http://www.forbes.com/companies/anz/
Cisco Systems;138,951;48,083;8,653;104,922;76;Information Technology;Communications Equipment;North America;United States;California;California;John Chambers;http://www.forbes.com/companies/cisco-systems/
Sumitomo Mitsui Financial;54,794;34,836;7,6795;1465,414;77;Financials;Regional Banks;Asia;Japan;Japan;;Koichi Miyata;http://www.forbes.com/companies/sumitomo-mitsui-financial/
Zurich Insurance Group;51,845;73,003;3,8844;389,979;78;Financials;Diversified Insurance;Europe;Switzerland;Switzerland;;Martin Senn;http://www.forbes.com/companies/zurich-insurance-group/
China Minsheng Banking;51,702;40;7,2282;647,185;79;Financials;Regional Banks;Asia;China;China;;Hong Qi;http://www.forbes.com/companies/china-minsheng-banking/
Merck & Co;162,288;42,197;11,92;98,335;80;Health Care;Pharmaceuticals;North America;United States;New Jersey;New Jersey;Kenneth Frazier;http://www.forbes.com/companies/merck-co/
Roche Holding;240,395;51,848;10,1943;76,124;81;Health Care;Pharmaceuticals;Europe;Switzerland;Switzerland;;Severin Schwan;http://www.forbes.com/companies/roche/
Citic Pacific;44,264;51,856;5,1368;766,982;82;Materials;Iron & Steel;Asia;Hong Kong;Hong Kong;;Ji Zhang;http://www.forbes.com/companies/citic-pacific/
National Australia Bank;71,65;33,444;4,8732;772,932;83;Financials;Major Banks;Australia;Australia;Australia;;Andrew Thorburn;http://www.forbes.com/companies/national-australia-bank/
Shanghai Pudong Development;49,235;38,243;7,632;676,326;84;Financials;Regional Banks;Asia;China;China;;Zhu Yuchen;http://www.forbes.com/companies/shanghai-pudong-development/
Walt Disney;179,525;49,781;7,843;87,035;84;Consumer Discretionary;Broadcasting & Cable;North America;United States;California;California;Robert Iger;http://www.forbes.com/companies/walt-disney/
CVS Health;117,421;139,367;4,636;74,252;86;Consumer Staples;Drug Retail;North America;United States;Rhode Island;Rhode Island;Larry Merlo;http://www.forbes.com/companies/cvs-health/
Telefónica;72,318;66,822;3,982;147,988;86;Telecommunication Services;Telecommunications services;Europe;Spain;Spain;;César Izuel;http://www.forbes.com/companies/telefonica/
Oracle;187,609;38,841;10,827;98,816;88;Information Technology;Software & Programming;North America;United States;California;California;Safra Catz;http://www.forbes.com/companies/oracle/
ConocoPhillips;80,525;52,001;6,869;116,539;89;Energy;Oil & Gas Operations;North America;United States;Texas;Texas;Ryan Lance;http://www.forbes.com/companies/conocophillips/
Sanofi;135,957;44,794;5,8231;117,849;89;Health Care;Pharmaceuticals;Europe;France;France;;Olivier Brandicourt;http://www.forbes.com/companies/sanofi/
United Technologies;107,07;65,196;6,22;91,289;91;Industrials;Conglomerates;North America;United States;Connecticut;Connecticut;Gregory Hayes;http://www.forbes.com/companies/united-technologies/
ING Group;58,875;65,729;2,572;1195,717;92;Financials;Major Banks;Europe;Netherlands;Netherlands;;Ralph Hamers;http://www.forbes.com/companies/ing-group/
Coca-Cola;179,851;45,913;7,098;92,023;93;Consumer Staples;Beverages;North America;United States;Georgia;Georgia;Ahmet Kent;http://www.forbes.com/companies/coca-cola/
China Citic Bank;49,679;38,311;6,6027;667,12;94;Financials;Regional Banks;Asia;China;China;;Li Qingping;http://www.forbes.com/companies/china-citic-bank/
Morgan Stanley;70,803;38,983;3,463;803,065;95;Financials;Investment Services;North America;United States;New York;New York;James Gorman;http://www.forbes.com/companies/morgan-stanley/
Hewlett-Packard;57,853;109,763;4,954;100,861;96;Information Technology;Computer Hardware;North America;United States;California;California;Margaret Whitman;http://www.forbes.com/companies/hewlett-packard/
Nissan Motor;45,871;106,683;4,2867;138,936;96;Consumer Discretionary;Auto & Truck Manufacturers;Asia;Japan;Japan;;Carlos Ghosn;http://www.forbes.com/companies/nissan-motor/
GDF SUEZ;49,544;99,067;3,2365;200,027;98;Utilities;Electric Utilities;Europe;France;France;;Gérard Mestrallet;http://www.forbes.com/companies/gdf-suez/
PepsiCo;143,018;66,683;6,504;70,509;99;Consumer Staples;Beverages;North America;United States;New York;New York;Indra Nooyi;http://www.forbes.com/companies/pepsico/
Lloyds Banking Group;84,443;65,607;1,9281;1332,996;100;Financials;Major Banks;Europe;United Kingdom;United Kingdom;;Antonio De Sousa Horta-Osorio;http://www.forbes.com/companies/lloyds-banking-group/
Munich Re;38,246;77,016;4,1677;323,871;101;Financials;Diversified Insurance;Europe;Germany;Germany;;Nikolaus Von Bomhard;http://www.forbes.com/companies/munich-re/
Société Générale;40,651;54,173;3,5708;1582,951;101;Financials;Major Banks;Europe;France;France;;Frédéric Oudéa;http://www.forbes.com/companies/societe-generale/
CNOOC;64,384;44,57;9,769;106,844;103;Energy;Oil & Gas Operations;Asia;China;China;;Fan Li;http://www.forbes.com/companies/cnooc/
Statoil;58,041;95,139;3,4732;131,563;103;Energy;Oil & Gas Operations;Europe;Norway;Norway;;Eldar Sætre;http://www.forbes.com/companies/statoil/
American Express;80,876;36,014;5,839;159,103;105;Financials;Consumer Financial Services;North America;United States;New York;New York;Kenneth Chenault;http://www.forbes.com/companies/american-express/
Rio Tinto;76,526;47,641;6,4954;107,827;105;Materials;Diversified Metals & Mining;Europe;United Kingdom;United Kingdom;;Samuel Cossart Walsh;http://www.forbes.com/companies/rio-tinto/
Bank of Nova Scotia;61,347;27,897;6,3693;671,851;107;Financials;Major Banks;North America;Canada;Canada;;Brian Porter;http://www.forbes.com/companies/bank-of-nova-scotia/
Bayer;126,382;56,028;4,5444;84,983;108;Materials;Diversified Chemicals;Europe;Germany;Germany;;Marijn Dekkers;http://www.forbes.com/companies/bayer/
LukOil;43,504;121,359;4,746;111,8;109;Energy;Oil & Gas Operations;Asia;Russia;Russia;;Vagit Alekperov;http://www.forbes.com/companies/lukoil/
Glencore International;54,869;220,934;2,2925;152,205;110;Materials;Diversified Metals & Mining;Europe;Switzerland;Switzerland;;Ivan Glasenberg;http://www.forbes.com/companies/glencore-international/
Credit Agricole;39,952;48,526;3,1087;1922,861;111;Financials;Regional Banks;Europe;France;France;;Jean-Paul Chifflet;http://www.forbes.com/companies/credit-agricole/
China State Construction Engineering;36,806;120,336;3,8846;150,625;112;Industrials;Construction Services;Asia;China;China;;Guan Qing;http://www.forbes.com/companies/china-state-construction-engineering/
Unilever;129,098;64,248;6,859;58,115;113;Consumer Staples;Household/Personal Care;Europe;Netherlands;Netherlands;;Paulus Polman;http://www.forbes.com/companies/unilever/
Deutsche Bank;49,717;56,366;2,2072;2067,616;114;Financials;Major Banks;Europe;Germany;Germany;;Jürgen Fitschen;http://www.forbes.com/companies/deutsche-bank/
BBVA-Banco Bilbao Vizcaya;66,117;28,148;3,4726;764,681;115;Financials;Regional Banks;Europe;Spain;Spain;;Francisco Rodríguez;http://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/
Saudi Basic Industries;64,004;50,361;6,2474;90,888;116;Materials;Diversified Chemicals;Asia;Saudi Arabia;Saudi Arabia;;Yousef Bin Abdullah Al-Benyan;http://www.forbes.com/companies/saudi-basic-industries/
Hyundai Motor;32,854;84,791;6,9793;133,945;117;Consumer Discretionary;Auto & Truck Manufacturers;Asia;South Korea;South Korea;;Chung Mong-Koo;http://www.forbes.com/companies/hyundai-motor/
Hutchison Whampoa;59,776;35,096;8,6601;113,92;118;Industrials;Conglomerates;Asia;Hong Kong;Hong Kong;;Kin Fok;http://www.forbes.com/companies/hutchison-whampoa/
Mizuho Financial;43,648;27,033;6,1266;1634,734;119;Financials;Major Banks;Asia;Japan;Japan;;Yasuhiro Sato;http://www.forbes.com/companies/mizuho-financial/
EADS;52,437;80,532;3,1079;116,288;120;Industrials;Aerospace & Defense;Europe;France;France;;Thomas Enders;http://www.forbes.com/companies/eads/
Eni;64,246;145,893;1,7682;176,898;121;Energy;Oil & Gas Operations;Europe;Italy;Italy;;Claudio Descalzi;http://www.forbes.com/companies/eni/
Hon Hai Precision;44,608;139,034;4,3076;77,929;122;Information Technology;Electronics;Asia;Taiwan;Taiwan;;Terry Gou;http://www.forbes.com/companies/hon-hai-precision/
Schlumberger;109,785;48,58;5,438;66,904;123;Energy;Oil Services & Equipment;North America;United States;Texas;Texas;Paal Kibsgaard;http://www.forbes.com/companies/schlumberger/
Sberbank;26,875;58,063;7,5677;420,013;124;Financials;Regional Banks;Asia;Russia;Russia;;Herman Gref;http://www.forbes.com/companies/sberbank/
América Móvil;74,516;63,744;3,4509;85,233;125;Telecommunication Services;Telecommunications services;North America;Mexico;Mexico;;Daniel Aboumrad;http://www.forbes.com/companies/america-movil/
US Bancorp;77,227;20,252;5,826;406,214;126;Financials;Major Banks;North America;United States;Minnesota;Minnesota;Richard Davis;http://www.forbes.com/companies/us-bancorp/
China Shenhua Energy;63,774;39,638;5,9718;85,847;127;Materials;Diversified Metals & Mining;Asia;China;China;;Han Jianguo;http://www.forbes.com/companies/china-shenhua-energy/
Manulife Financial;34,02;48,171;3,1699;484,249;128;Financials;Life & Health Insurance;North America;Canada;Canada;;Don Guloien;http://www.forbes.com/companies/manulife-financial/
Generali Group;31,631;111,737;2,2165;601,322;129;Financials;Diversified Insurance;Europe;Italy;Italy;;Mario Greco;http://www.forbes.com/companies/generali-group/
SAIC Motor;47,119;99,519;4,4271;62,135;130;Consumer Discretionary;Auto & Truck Manufacturers;Asia;China;China;;Chen Hong;http://www.forbes.com/companies/saic-motor/
Mitsubishi Corp;32,801;73,139;3,8183;143,029;131;Industrials;Trading Companies;Asia;Japan;Japan;;Ken Kobayashi;http://www.forbes.com/companies/mitsubishi-corp/
Nordea Bank;50,846;20,825;4,4198;809,937;132;Financials;Regional Banks;Europe;Sweden;Sweden;;Christian Clausen;http://www.forbes.com/companies/nordea-bank/
Banco do Brasil;23,599;68,806;5,0356;482,899;133;Financials;Regional Banks;South America;Brazil;Brazil;;Alexandre Abreu;http://www.forbes.com/companies/banco-do-brasil/
Home Depot;149,246;83,176;6,345;39,946;134;Consumer Discretionary;Home Improvement Retail;North America;United States;Georgia;Georgia;Craig Menear;http://www.forbes.com/companies/home-depot/
GlaxoSmithKline;114,126;37,881;4,5379;63,385;135;Health Care;Pharmaceuticals;Europe;United Kingdom;United Kingdom;;Andrew Witty;http://www.forbes.com/companies/glaxosmithkline/
AIA Group;76,673;25,433;3,4499;165,262;136;Financials;Life & Health Insurance;Asia;Hong Kong;Hong Kong;;Mark Tucker;http://www.forbes.com/companies/aia-group/
Caterpillar;49,397;55,184;3,695;84,681;136;Industrials;Heavy Equipment;North America;United States;Illinois;Illinois;Douglas Oberhelman;http://www.forbes.com/companies/caterpillar/
UniCredit Group;41,344;30,523;2,6622;1021,545;138;Financials;Regional Banks;Europe;Italy;Italy;;Federico Ghizzoni;http://www.forbes.com/companies/unicredit-group/
Credit Suisse Group;44,379;38,441;2,0506;927,351;139;Financials;Investment Services;Europe;Switzerland;Switzerland;;Brady Dougan;http://www.forbes.com/companies/credit-suisse-group/
Dow Chemical;56,08;58,226;3,751;68,796;139;Materials;Diversified Chemicals;North America;United States;Michigan;Michigan;Andrew Liveris;http://www.forbes.com/companies/dow-chemical/
Capital One Financial;44,132;23,785;4,41;310,212;141;Financials;Consumer Financial Services;North America;United States;Virginia;Virginia;Richard Fairbank;http://www.forbes.com/companies/capital-one-financial/
Intesa Sanpaolo;58,403;35,218;1,7867;782,209;142;Financials;Regional Banks;Europe;Italy;Italy;;Gian Gros-Pietro;http://www.forbes.com/companies/intesa-sanpaolo/
Reliance Industries;42,926;71,734;3,7219;76,589;142;Energy;Oil & Gas Operations;Asia;India;India;;Mukesh Ambani;http://www.forbes.com/companies/reliance-industries/
China Telecom;53,869;52,653;2,8676;90,47;144;Telecommunication Services;Telecommunications services;Asia;China;China;;Xiao Wang;http://www.forbes.com/companies/china-telecom/
China Everbright Bank;35,058;25,237;4,688;441,169;145;Financials;Regional Banks;Asia;China;China;;Zhao Huan;http://www.forbes.com/companies/china-everbright-bank/
Swiss Re;36,803;37,128;3,4585;197,511;146;Financials;Diversified Insurance;Europe;Switzerland;Switzerland;;Michel Liès;http://www.forbes.com/companies/swiss-re/
Phillips 66;42,6;149,828;4,757;48,741;147;Energy;Oil & Gas Operations;North America;United States;Texas;Texas;Greg Garland;http://www.forbes.com/companies/phillips-66/
Hitachi;33,491;91,259;2,9534;102,721;148;Information Technology;Electronics;Asia;Japan;Japan;;Hiroaki Nakanishi;http://www.forbes.com/companies/hitachi/
Møller-Maersk;46,891;47,544;5,015;68,844;148;Industrials;Other Transportation;Europe;Denmark;Denmark;;Nils Andersen;http://www.forbes.com/companies/moller-maersk/
Twenty-First Century Fox, Inc.;72,454;32,606;9,296;52,652;150;;;North America;United States;New York;New York;Keith Murdoch;http://www.forbes.com/companies/twenty-first-century-fox-inc/
Iberdrola;42,31;39,836;3,1842;113,468;151;Utilities;Electric Utilities;Europe;Spain;Spain;;José Sánchez Galán;http://www.forbes.com/companies/iberdrola/
State Bank of India;32,987;40,796;2,3475;400,638;152;Financials;Regional Banks;Asia;India;India;;V Kannan;http://www.forbes.com/companies/state-bank-of-india/
Standard Chartered;39,779;24,815;2,5844;725,914;153;Financials;Major Banks;Europe;United Kingdom;United Kingdom;;Peter Sands;http://www.forbes.com/companies/standard-chartered/
Bank of Montreal;39,732;20,071;3,7839;530,272;154;Financials;Major Banks;North America;Canada;Canada;;William Downe;http://www.forbes.com/companies/bank-of-montreal/
China Communications Construction;41,22;58,452;2,2505;101,61;155;Industrials;Construction Services;Asia;China;China;;Liu Qitao;http://www.forbes.com/companies/china-communications-construction/
Qualcomm;111,774;26,964;8,063;48,447;156;Information Technology;Semiconductors;North America;United States;California;California;Steven Mollenkopf;http://www.forbes.com/companies/qualcomm/
Prudential Financial;36,389;58,521;1,381;766,655;157;Financials;Life & Health Insurance;North America;United States;New Jersey;New Jersey;John Strangfeld Jr;http://www.forbes.com/companies/prudential-financial/
Taiwan Semiconductor;123,323;25,173;8,7086;47,311;158;Information Technology;Semiconductors;Asia;Taiwan;Taiwan;;Te Liu;http://www.forbes.com/companies/taiwan-semiconductor/
Honeywell International;81,568;40,306;4,239;45,451;159;Industrials;Conglomerates;North America;United States;New Jersey;New Jersey;David Cote;http://www.forbes.com/companies/honeywell-international/
China Railway Group;39,709;96,825;1,6811;110,098;160;Industrials;Construction Services;Asia;China;China;;Dai Hegen;http://www.forbes.com/companies/china-railway-group/
Amgen;117,689;20,058;5,158;69,009;161;Health Care;Biotechs;North America;United States;California;California;Robert Bradway;http://www.forbes.com/companies/amgen/
Aviva;24,454;51,144;2,5834;463,899;162;Financials;Life & Health Insurance;Europe;United Kingdom;United Kingdom;;Patrick Domit;http://www.forbes.com/companies/aviva/
Express Scripts;61,86;100,887;2,0076;53,799;163;Health Care;Healthcare Services;North America;United States;Missouri;Missouri;George Paz;http://www.forbes.com/companies/express-scripts/
Time Warner;70,827;28,101;3,816;63,259;163;Consumer Discretionary;Broadcasting & Cable;North America;United States;New York;New York;Jeff Bewkes;http://www.forbes.com/companies/time-warner/
VINCI;35,233;51,788;3,2975;77,551;165;Industrials;Construction Services;Europe;France;France;;Xavier Huillard;http://www.forbes.com/companies/vinci/
Walgreens Boots Alliance;95,926;77,617;2,046;48,616;165;Consumer Staples;Drug Retail;North America;United States;Illinois;Illinois;Stefano Pessina;http://www.forbes.com/companies/walgreens-boots-alliance/
Anthem;41,342;73,923;2,5697;62,065;167;Health Care;Managed Health Care;North America;United States;Indiana;Indiana;Joseph Swedish;http://www.forbes.com/companies/anthem/
