Company;Market Value;Revenue;Profits;Assets;Rank;Sector;Industry;Continent;Country;Headquarters;State;CEO;Forbes Webpage
Atlantia;22,21;5,806;0,9459;37,718;610;Industrials;Other Transportation;Europe;Italy;Italy;;Giovanni Castellucci;http://www.forbes.com/companies/atlantia/
Legend Holding;5,934;49,268;0,747;47,161;611;Information Technology;Computer Hardware;Asia;China;China;;Li Zhu;http://www.forbes.com/companies/legend-holding/
Grupo Mexico;18,525;8,152;1,1795;22,248;612;Materials;Diversified Metals & Mining;North America;Mexico;Mexico;;Germán Mota-Velasco;http://www.forbes.com/companies/grupo-mexico/
Sumitomo Electric;9,83;24,486;0,7297;24,251;613;Consumer Discretionary;Auto & Truck Parts;Asia;Japan;Japan;;Masayoshi Matsumoto;http://www.forbes.com/companies/sumitomo-electric/
DTE Energy;15,39;10,354;0,727;28,737;614;Utilities;Electric Utilities;North America;United States;Michigan;Michigan;Gerard Anderson;http://www.forbes.com/companies/dte-energy/
Falabella;18,413;12,816;0,7939;17,791;614;Consumer Discretionary;Department Stores;South America;Chile;Chile;;Sandro Donaggio;http://www.forbes.com/companies/falabella/
TELUS;18,476;9,716;1,0802;19,009;616;Telecommunication Services;Telecommunications services;North America;Canada;Canada;;Darren Entwistle;http://www.forbes.com/companies/telus/
Delphi Automotive;20,915;15,165;1,165;11,973;617;Consumer Discretionary;Auto & Truck Parts;Europe;United Kingdom;United Kingdom;;Kevin Clark;http://www.forbes.com/companies/delphi-automotive/
Toray Industries;14,2;17,379;0,6993;20,094;617;Materials;Diversified Chemicals;Asia;Japan;Japan;;Akihiro Nikkaku;http://www.forbes.com/companies/toray-industries/
Sabanci Holding;7,33;11,354;0,7872;91,156;619;Industrials;Conglomerates;Europe;Turkey;Turkey;;Zafer Kurtul;http://www.forbes.com/companies/sabanci-holding/
Bank Central Asia;24,52;4,411;1,3449;43,117;620;Financials;Regional Banks;Asia;Indonesia;Indonesia;;Jahja Setiaatmadja;http://www.forbes.com/companies/bank-central-asia/
Unum;8,064;10,785;0,8671;61,909;621;Financials;Life & Health Insurance;North America;United States;Tennessee;Tennessee;Rick McKenney;http://www.forbes.com/companies/unum/
Siam Cement;16,507;12,827;1,3247;14,172;622;Materials;Specialized Chemicals;Asia;Thailand;Thailand;;Roongrote Rangsiyopash;http://www.forbes.com/companies/siam-cement/
Halliburton;35,062;23,633;-0,671;36,942;623;Energy;Oil Services & Equipment;North America;United States;Texas;Texas;David Lesar;http://www.forbes.com/companies/halliburton/
Henderson Land;21,124;3,115;2,7508;43,389;624;Financials;Real Estate;Asia;Hong Kong;Hong Kong;;Shau Lee;http://www.forbes.com/companies/henderson-land/
Daqin Railway;15,02;8,61;2,2832;17,003;625;Industrials;Railroads;Asia;China;China;;Bo Guan;http://www.forbes.com/companies/daqin-railway/
Aeon;12,979;59,968;0,0498;72,876;626;Consumer Staples;Food Retail;Asia;Japan;Japan;;Motoya Okada;http://www.forbes.com/companies/aeon/
VTB Bank;13,974;22,408;0,0212;186,786;626;Financials;Regional Banks;Asia;Russia;Russia;;Andrey Kostin;http://www.forbes.com/companies/vtb-bank/
Telecom Italia;18,44;21,866;-0,0798;77,379;628;Telecommunication Services;Telecommunications services;Europe;Italy;Italy;;Flavio Cattaneo;http://www.forbes.com/companies/telecom-italia/
Guotai Junan Securities;22,207;3,699;1,0968;96,131;629;Financials;Major Banks;Asia;China;China;;De Yang;http://www.forbes.com/companies/guotai-junan-securities/
J Sainsbury;8,112;36,333;0,6795;25,702;630;Consumer Staples;Food Retail;Europe;United Kingdom;United Kingdom;;Michael Coupe;http://www.forbes.com/companies/j-sainsbury/
Shire;36,566;6,417;1,3028;16,61;631;Health Care;Pharmaceuticals;Europe;Ireland;Ireland;;Flemming Ornskov,;http://www.forbes.com/companies/shire/
Citizens Financial Group;12,468;5,274;0,84;139,144;632;Financials;Regional Banks;North America;United States;;;Bruce van Saun;http://www.forbes.com/companies/citizens-financial-group/
Kellogg;26,516;13,529;0,614;15,265;633;Consumer Staples;Food Processing;North America;United States;Michigan;Michigan;John Bryant;http://www.forbes.com/companies/kellogg/
Applied Materials;23,858;9,557;1,315;13,326;634;Information Technology;Semiconductors;North America;United States;California;California;Gary Dickerson;http://www.forbes.com/companies/applied-materials/
Sumitomo Realty;15,222;6,989;0,7796;38,049;635;Financials;Real Estate;Asia;Japan;Japan;;Junji Takashima;http://www.forbes.com/companies/sumitomo-realty/
Fujitsu;7,795;39,624;0,6413;26,747;636;Information Technology;Computer Hardware;Asia;Japan;Japan;;Masami Yamamoto;http://www.forbes.com/companies/fujitsu/
Best Buy;10,742;39,528;0,897;13,519;637;Information Technology;Computer & Electronics Retail;North America;United States;Minnesota;Minnesota;Hubert Joly;http://www.forbes.com/companies/best-buy/
China Merchants Shekou Industrial Zone Holdings;17,535;7,006;0,772;32,509;638;Financials;Real Estate;Asia;China;China;;Yong XU;http://www.forbes.com/companies/china-merchants-shekou-industrial-zone-holdings/
Norilsk Nickel;23,186;8,463;1,6624;13,371;639;Materials;Diversified Metals & Mining;Asia;Russia;Russia;;Vladimir Potanin;http://www.forbes.com/companies/norilsk-nickel/
Bankia;11,574;4,452;1,1544;224,831;640;Financials;Regional Banks;Europe;Spain;Spain;;José Álvarez;http://www.forbes.com/companies/bankia/
Shenwan Hongyuan Group;19,014;1,773;1,6992;55,011;641;Financials;Major Banks;Asia;China;China;;;http://www.forbes.com/companies/shenwan-hongyuan-group/
George Weston;11,186;36,654;0,4119;27,213;642;Consumer Staples;Food Retail;North America;Canada;Canada;;Willard Galen;http://www.forbes.com/companies/george-weston/
Occidental Petroleum;57,93;12,58;-7,829;43,437;643;Energy;Oil & Gas Operations;North America;United States;Texas;Texas;Vicki Hollub;http://www.forbes.com/companies/occidental-petroleum/
Bunge;8,382;43,455;0,772;17,922;644;Consumer Staples;Food Processing;North America;United States;New York;New York;Soren Schroder;http://www.forbes.com/companies/bunge/
Sumitomo Corp;13,746;31,145;-0,0131;70,986;645;Industrials;Trading Companies;Asia;Japan;Japan;;Kazuo Ohmori;http://www.forbes.com/companies/sumitomo-corp/
Bank of Nanjing;8,32;6,313;1,0648;121,155;646;Financials;Regional Banks;Asia;China;China;;Fu Lin;http://www.forbes.com/companies/bank-of-nanjing/
Industrial Bank of Korea;6,319;8,585;1,0099;204,548;647;Financials;Regional Banks;Asia;South Korea;South Korea;;Seon-Joo Kwon;http://www.forbes.com/companies/industrial-bank-of-korea/
Agrium;11,92;14,6;0,9725;16,377;648;Materials;Specialized Chemicals;North America;Canada;Canada;;Charles Magro;http://www.forbes.com/companies/agrium/
Yum Brands;33,059;13,102;1,322;8,221;649;Consumer Discretionary;Restaurants;North America;United States;Kentucky;Kentucky;Greg Creed;http://www.forbes.com/companies/yum-brands/
Bharat Petroleum;10,492;38,355;0,7861;14,081;650;Energy;Oil & Gas Operations;Asia;India;India;;Srinivasan Varadarajan;http://www.forbes.com/companies/bharat-petroleum/
Dentsu;15,706;8,574;0,7673;25,093;651;Consumer Discretionary;Advertising;Asia;Japan;Japan;;Tadashi Ishii;http://www.forbes.com/companies/dentsu/
Constellation Brands;30,852;6,548;1,0549;16,965;652;Consumer Staples;Beverages;North America;United States;New York;New York;Robert Sands;http://www.forbes.com/companies/constellation-brands/
Scor;7,15;14,881;0,7119;43,829;653;Financials;Diversified Insurance;Europe;France;France;;Denis Kessler;http://www.forbes.com/companies/scor/
Chunghwa Telecom;26,532;7,3;1,348;13,792;654;Telecommunication Services;Telecommunications services;Asia;Taiwan;Taiwan;;Mu-Piao Shih;http://www.forbes.com/companies/chunghwa-telecom/
Stanley Black & Decker;16,739;11,214;0,9108;15,607;655;Consumer Staples;Household/Personal Care;North America;United States;Connecticut;Connecticut;John Lundgre;http://www.forbes.com/companies/stanley-black-decker/
Grupo Aval;8,997;7,454;0,7789;68,834;656;Financials;Investment Services;South America;Colombia;Colombia;;Luís Sarmiento;http://www.forbes.com/companies/grupo-aval/
First Gulf Bank;16,049;2,975;1,6243;61,937;657;Financials;Regional Banks;Asia;United Arab Emirates;United Arab Emirates;;André Sayegh;http://www.forbes.com/companies/first-gulf-bank/
VF;27,129;12,428;1,2316;9,64;658;Consumer Discretionary;Apparel/Accessories;North America;United States;North Carolina;North Carolina;Eric Wiseman;http://www.forbes.com/companies/vf/
Telekom Indonesia;27,413;7,839;1,1982;13,348;659;Telecommunication Services;Telecommunications services;Asia;Indonesia;Indonesia;;Alex Sinaga;http://www.forbes.com/companies/telekom-indonesia/
LG Display;8,107;25,078;0,854;19,257;660;Information Technology;Electronics;Asia;South Korea;South Korea;;Sang-Beom Han;http://www.forbes.com/companies/lg-display/
ThyssenKrupp Group;13,795;46,887;0,2617;38,733;661;Industrials;Conglomerates;Europe;Germany;Germany;;Heinrich Hiesinger;http://www.forbes.com/companies/thyssenkrupp-group/
Ingersoll-Rand;16,591;13,301;0,6646;16,739;662;Industrials;Conglomerates;Europe;Ireland;Ireland;;Michael Lamach;http://www.forbes.com/companies/ingersoll-rand/
West Japan Railway;12,091;11,806;0,7008;23,41;662;Industrials;Railroads;Asia;Japan;Japan;;Takayuki Sasaki;http://www.forbes.com/companies/west-japan-railway/
Huadian Power International;7,716;10,598;1,1757;31,824;664;Utilities;Electric Utilities;Asia;China;China;;Bin Chen;http://www.forbes.com/companies/huadian-power-international/
Liberty Interactive;12,99;9,989;0,869;21,18;664;Consumer Discretionary;Internet & Catalog Retail;North America;United States;Colorado;Colorado;Gregory Maffei;http://www.forbes.com/companies/liberty-interactive/
Takeda Pharmaceutical;39,036;15,125;-0,9241;34,83;666;Health Care;Pharmaceuticals;Asia;Japan;Japan;;Christophe Weber,;http://www.forbes.com/companies/takeda-pharmaceutical/
WH Group;11,709;21,209;0,786;14,301;666;Consumer Staples;Food Processing;Asia;Hong Kong;Hong Kong;;Long Wan;http://www.forbes.com/companies/wh-group/
CIMB Group Holdings;10,74;5,902;0,7288;107,663;668;Financials;Regional Banks;Asia;Malaysia;Malaysia;;Zafrul Abdul Aziz;http://www.forbes.com/companies/cimb-group-holdings/
JX Holdings;10,737;76,222;-2,1195;58,713;668;Energy;Oil & Gas Operations;Asia;Japan;Japan;;Yasushi Kimura;http://www.forbes.com/companies/jx-holdings/
Kweichow Moutai;47,864;4,892;2,5201;14,022;668;Consumer Staples;Beverages;Asia;China;China;;Shuang Luo;http://www.forbes.com/companies/kweichow-moutai/
Asahi Group Holdings;15,965;15,342;0,6313;15,807;671;Consumer Staples;Beverages;Asia;Japan;Japan;;Naoki Izumiya;http://www.forbes.com/companies/asahi-group-holdings/
Porsche Automobil Holding;16,556;;3,5169;34,91;672;Consumer Discretionary;Auto & Truck Manufacturers;Europe;Germany;Germany;;Hans Pötsch;http://www.forbes.com/companies/porsche-automobil-holding/
Nan Ya Plastics;15,956;9,442;1,1249;15,64;673;Materials;Diversified Chemicals;Asia;Taiwan;Taiwan;;Chia Wu;http://www.forbes.com/companies/nan-ya-plastics/
China Resources Power;8,776;9,214;1,2932;26,849;674;Utilities;Electric Utilities;Asia;Hong Kong;Hong Kong;;Jun Zhou;http://www.forbes.com/companies/china-resources-power/
China Zheshang Bank;9,076;5,684;0,827;157,963;675;Financials;Regional Banks;Asia;China;China;;Ren Shen;http://www.forbes.com/companies/china-zheshang-bank/
China Southern Airlines;8,406;17,695;0,6201;28,682;676;Industrials;Airline;Asia;China;China;;Wan Tan;http://www.forbes.com/companies/china-southern-airlines/
China Yangtze Power;41,777;3,892;1,9079;22,625;677;Utilities;Electric Utilities;Asia;China;China;;Ding Zhang;http://www.forbes.com/companies/china-yangtze-power/
Altice;17,052;16,135;-0,3544;70,389;678;;;Europe;Luxembourg;Luxembourg;;Dexter Goei;http://www.forbes.com/companies/altice/
Xerox;11,315;18,045;0,488;24,817;679;Industrials;Business Products & Supplies;North America;United States;Connecticut;Connecticut;Ursula Burns;http://www.forbes.com/companies/xerox/
Naspers;59,999;6,363;1,0873;13,273;680;Consumer Discretionary;Broadcasting & Cable;Africa;South Africa;South Africa;;Robert Dijk;http://www.forbes.com/companies/naspers/
Sekisui House;13,018;15,354;0,6963;16,766;681;Industrials;Construction Services;Asia;Japan;Japan;;Isami Wada;http://www.forbes.com/companies/sekisui-house/
National Bank of Abu Dhabi;12,751;3,672;1,3696;110,69;682;Financials;Regional Banks;Asia;United Arab Emirates;United Arab Emirates;;Alexander Thursby;http://www.forbes.com/companies/national-bank-of-abu-dhabi/
Safran;28,452;20,071;-0,937;30,967;683;Industrials;Aerospace & Defense;Europe;France;France;;Philippe Petitcolin;http://www.forbes.com/companies/safran/
Asahi Kasei;10,098;16,229;0,7353;20,031;684;Materials;Diversified Chemicals;Asia;Japan;Japan;;Ichiro Itoh;http://www.forbes.com/companies/asahi-kasei/
Gree Electric Appliances;;19,684;2,2946;26,787;685;Consumer Discretionary;Household Appliances;Asia;China;China;;Mingzhu Dong;http://www.forbes.com/companies/gree-electric-appliances/
Wolseley;14,131;20,821;0,9098;11,357;686;Materials;Construction Materials;Europe;Switzerland;Switzerland;;Ian Meakins;http://www.forbes.com/companies/wolseley/
Broadcom;58,696;6,96;1,39;10,777;687;Information Technology;Semiconductors;North America;United States;California;California;Hock Tan;http://www.forbes.com/companies/broadcom/
Republic Services;15,769;9,115;0,75;20,577;688;Industrials;Environmental & Waste;North America;United States;Arizona;Arizona;Donald Slager;http://www.forbes.com/companies/republic-services/
Bank of Ireland;9,375;4,84;1,0424;142,262;689;Financials;Regional Banks;Europe;Ireland;Ireland;;Richie Boucher;http://www.forbes.com/companies/bank-of-ireland/
Novatek;27,781;7,754;1,2137;12,105;690;Energy;Oil & Gas Operations;Asia;Russia;Russia;;Leonid Mikhelson;http://www.forbes.com/companies/novatek/
Western Digital;10,163;13,418;1,138;15,466;690;Information Technology;Computer Storage Devices;North America;United States;California;California;Stephen Milligan;http://www.forbes.com/companies/western-digital/
China Merchants Securities;15,502;3,96;1,7357;44,914;692;Financials;Investment Services;Asia;China;China;;Yan Wang;http://www.forbes.com/companies/china-merchants-securities/
Sumitomo Chemical;7,756;18,432;0,7396;24,062;693;Materials;Diversified Chemicals;Asia;Japan;Japan;;Osamu Ishitobi;http://www.forbes.com/companies/sumitomo-chemical/
Kao Corp;26,667;12,157;0,8166;10,656;694;Consumer Staples;Household/Personal Care;Asia;Japan;Japan;;Michitaka Sawada;http://www.forbes.com/companies/kao-corp/
Formosa Chemicals;15,213;10,372;0,8685;15,617;695;Materials;Specialized Chemicals;Asia;Taiwan;Taiwan;;Fu Hong;http://www.forbes.com/companies/formosa-chemicals/
Estée Lauder;34,628;11,064;1,1806;8,582;696;Consumer Staples;Household/Personal Care;North America;United States;New York;New York;Fabrizio Freda;http://www.forbes.com/companies/estee-lauder/
Japan Airlines;13,326;11,116;1,4294;12,85;697;Industrials;Airline;Asia;Japan;Japan;;Masaru Onishi;http://www.forbes.com/companies/japan-airlines/
Ecopetrol;19,984;18,945;-1,4503;38,745;698;Energy;Oil & Gas Operations;South America;Colombia;Colombia;;Juan Garzón,;http://www.forbes.com/companies/ecopetrol/
Deutsche Boerse;16,281;2,602;0,738;195,663;699;Financials;Investment Services;Europe;Germany;Germany;;Carsten Kengeter;http://www.forbes.com/companies/deutsche-boerse/
Fidelity National Information;21,252;6,641;0,6315;26,269;699;Consumer Discretionary;Business & Personal Services;North America;United States;Florida;Florida;Gary Norcross;http://www.forbes.com/companies/fidelity-national-information/
Yara International;10,999;12,697;1,2252;14,202;701;Materials;Specialized Chemicals;Europe;Norway;Norway;;Svein Holsether;http://www.forbes.com/companies/yara-international/
China Galaxy Securities;9,32;5,34;1,5677;46,3;702;;;Asia;China;China;;Gu Weiguo;http://www.forbes.com/companies/china-galaxy-securities/
American Tower;44,166;4,772;0,6851;26,904;703;Financials;Real Estate;North America;United States;Massachusetts;Massachusetts;James Taiclet;http://www.forbes.com/companies/american-tower/
VMware;24,724;6,726;0,962;15,836;704;Information Technology;Software & Programming;North America;United States;California;California;Patrick Gelsinger;http://www.forbes.com/companies/vmware/
Shengjing Bank;8,415;5,386;0,9888;108,081;705;Financials;Regional Banks;Asia;China;China;;Lin Yang;http://www.forbes.com/companies/shengjing-bank/
RWE Group;8,644;51,406;-0,1885;88,839;706;Utilities;Electric Utilities;Europe;Germany;Germany;;Peter Terium;http://www.forbes.com/companies/rwe-group/
Longfor Properties;8,35;7,584;1,4283;28,349;707;Financials;Real Estate;Asia;China;China;;Ming Shao;http://www.forbes.com/companies/longfor-properties/
Centrica;16,968;42,734;-1,1413;27,798;708;Utilities;Natural Gas Utilities;Europe;United Kingdom;United Kingdom;;Iain Conn;http://www.forbes.com/companies/centrica/
Swatch Group;18,558;8,777;1,131;13,257;709;Consumer Discretionary;Apparel/Accessories;Europe;Switzerland;Switzerland;;Georges Hayek;http://www.forbes.com/companies/swatch-group/
China Energy Engineering;5,304;32,727;0,6739;40,169;710;Industrials;Construction Services;Asia;China;China;;Yan Ding;http://www.forbes.com/companies/china-energy-engineering/
Bank of Ningbo;8,096;5,485;1,0225;103,586;711;Financials;Regional Banks;Asia;China;China;;Hua Lu;http://www.forbes.com/companies/bank-of-ningbo/
Toyota Tsusho;8,596;68,891;0,3163;35,833;711;Industrials;Trading Companies;Asia;Japan;Japan;;Satoshi Ozawa;http://www.forbes.com/companies/toyota-tsusho/
Snam;20,553;4,276;1,3728;27,587;713;Utilities;Electric Utilities;Europe;Italy;Italy;;Carlo Malacarne;http://www.forbes.com/companies/snam/
Hong Kong Exchanges;31,785;1,666;1,0262;30,734;714;Financials;Investment Services;Asia;Hong Kong;Hong Kong;;Xiao Li;http://www.forbes.com/companies/hong-kong-exchanges/
Anglo American;13,599;20,465;-5,6256;52,013;715;Materials;Diversified Metals & Mining;Europe;United Kingdom;United Kingdom;;Mark Cutifani;http://www.forbes.com/companies/anglo-american/
Isuzu Motors;9,822;16,079;0,9437;14,5;716;Consumer Discretionary;Auto & Truck Manufacturers;Asia;Japan;Japan;;Jin Li;http://www.forbes.com/companies/isuzu-motors/
L Brands;22,03;12,154;1,252;8,493;717;Consumer Discretionary;Apparel/Footwear Retail;North America;United States;Ohio;Ohio;Leslie Wexner;http://www.forbes.com/companies/l-brands/
Fanuc;34,871;5,707;1,5318;12,644;718;Industrials;Other Industrial Equipment;Asia;Japan;Japan;;Yoshiharu Inaba;http://www.forbes.com/companies/fanuc/
Anhui Conch Cement;13,426;8,042;1,1998;16,29;719;Materials;Construction Materials;Asia;China;China;;Bin Wu;http://www.forbes.com/companies/anhui-conch-cement/
GD Power Development;9,019;8,606;0,6943;38,528;720;Utilities;Electric Utilities;Asia;China;China;;Shu Feng;http://www.forbes.com/companies/gd-power-development/
BYD;20,057;12,489;0,4471;17,785;721;Consumer Discretionary;Auto & Truck Manufacturers;Asia;China;China;;Wang Chuan-Fu;http://www.forbes.com/companies/byd/
Sherwin-Williams;27,578;11,463;1,0656;5,792;722;Consumer Discretionary;Home Improvement Retail;North America;United States;Ohio;Ohio;John Morikis;http://www.forbes.com/companies/sherwin-williams/
Rolls-Royce Holdings;18,126;20,969;0,1268;32,903;723;Industrials;Aerospace & Defense;Europe;United Kingdom;United Kingdom;;David East;http://www.forbes.com/companies/rolls-royce-holdings/
Royal Caribbean Cruises;15,936;8,299;0,6658;20,922;724;Consumer Discretionary;Hotels & Motels;North America;United States;Florida;Florida;Richard Fain;http://www.forbes.com/companies/royal-caribbean-cruises/
Loews;13,513;13,443;0,26;76,029;725;Financials;Diversified Insurance;North America;United States;New York;New York;James Tisch;http://www.forbes.com/companies/loews/
Sanlam;10,465;6,582;0,7348;43,228;725;Financials;Life & Health Insurance;Africa;South Africa;South Africa;;Ian Kirk;http://www.forbes.com/companies/sanlam/
Toshiba;9,409;52,545;-4,8666;49,623;727;Information Technology;Electronics;Asia;Japan;Japan;;Masashi Muromachi;http://www.forbes.com/companies/toshiba/
