Company;Market Value;Revenue;Profits;Assets;Rank;Sector;Industry;Continent;Country;Headquarters;State;CEO;Forbes Webpage
ICBC;198,042;171,077;44,1603;3420,257;1;Financials;Major Banks;Asia;China;China;;Jian Jiang;http://www.forbes.com/companies/icbc/
China Construction Bank;162,774;146,816;36,3934;2825,983;2;Financials;Regional Banks;Asia;China;China;;You Guo;http://www.forbes.com/companies/china-construction-bank/
Agricultural Bank of China;152,736;131,888;28,8087;2739,835;3;Financials;Regional Banks;Asia;China;China;;Ying Che;http://www.forbes.com/companies/agricultural-bank-of-china/
Berkshire Hathaway;360,145;210,821;24,083;561,068;4;Financials;Investment Services;North America;United States;Nebraska;Nebraska;Warren Buffett;http://www.forbes.com/companies/berkshire-hathaway/
JPMorgan Chase;234,247;99,881;23,548;2423,808;5;Financials;Major Banks;North America;United States;New York;New York;Jamie Dimon;http://www.forbes.com/companies/jpmorgan-chase/
Bank of China;143,002;122,027;27,2095;2589,605;6;Financials;Major Banks;Asia;China;China;;Chen Siqing;http://www.forbes.com/companies/bank-of-china/
Wells Fargo;255,998;91,431;22,686;1849,182;7;Financials;Major Banks;North America;United States;California;California;John Stumpf;http://www.forbes.com/companies/wells-fargo/
Apple;585,951;233,273;53,731;293,284;8;Information Technology;Computer Hardware;North America;United States;;;Timothy Cook;http://www.forbes.com/companies/apple/
ExxonMobil;363,27;236,81;16,15;336,758;9;Energy;Oil & Gas Operations;North America;United States;Texas;Texas;Rex Tillerson;http://www.forbes.com/companies/exxon-mobil/
Toyota Motor;176,96;235,832;19,267;406,692;10;Consumer Discretionary;Auto & Truck Manufacturers;Asia;Japan;Japan;;Takeshi Uchiyamada;http://www.forbes.com/companies/toyota-motor/
Bank of America;156,021;91,496;15,844;2185,498;11;Financials;Major Banks;North America;United States;North Carolina;North Carolina;Brian Moynihan;http://www.forbes.com/companies/bank-of-america/
AT&T;234,177;146,801;13,244;402,672;12;Telecommunication Services;Telecommunications services;North America;United States;Texas;Texas;Randall Stephenson;http://www.forbes.com/companies/att/
Citigroup;138,149;85,945;15,771;1800,967;13;Financials;Major Banks;North America;United States;New York;New York;Mike Corbat;http://www.forbes.com/companies/citigroup/
HSBC Holdings;132,956;70,267;13,4786;2409,656;14;Financials;Major Banks;Europe;United Kingdom;United Kingdom;;Stuart Gulliver;http://www.forbes.com/companies/hsbc-holdings/
Verizon Communications;206,244;131,807;17,97;244,587;15;Telecommunication Services;Telecommunications services;North America;United States;New Jersey;New Jersey;Lowell Mcadam;http://www.forbes.com/companies/verizon-communications/
Wal-Mart Stores;215,696;482,13;14,694;199,581;15;Consumer Discretionary;Discount Stores;North America;United States;Arkansas;Arkansas;C Mcmillon;http://www.forbes.com/companies/wal-mart-stores/
PetroChina;203,848;274,608;5,7043;368,685;17;Energy;Oil & Gas Operations;Asia;China;China;;Wang Dongjin;http://www.forbes.com/companies/petrochina/
China Mobile;240,997;107,758;17,1245;219,893;18;Telecommunication Services;Telecommunications services;Asia;China;China;;Yue Li;http://www.forbes.com/companies/china-mobile/
Samsung Electronics;161,55;177,286;16,5176;206,541;18;Information Technology;Semiconductors;Asia;South Korea;South Korea;;Oh-Hyun Kwon;http://www.forbes.com/companies/samsung-electronics/
Ping An Insurance Group;89,974;98,688;8,6579;732,277;20;Financials;Diversified Insurance;Asia;China;China;;Ming Ma;http://www.forbes.com/companies/ping-an-insurance/
Allianz;79,725;115,424;7,3377;926,157;21;Financials;Diversified Insurance;Europe;Germany;Germany;;Oliver Bäte;http://www.forbes.com/companies/allianz/
Volkswagen Group;73,073;246,232;7,06;414,588;22;Consumer Discretionary;Auto & Truck Manufacturers;Europe;Germany;Germany;;Hans Pötsch;http://www.forbes.com/companies/volkswagen-group/
Microsoft;407,015;86,596;10,179;181,869;23;Information Technology;Software & Programming;North America;United States;Washington;Washington;Satya Nadella;http://www.forbes.com/companies/microsoft/
BNP Paribas;66,847;74,91;7,4231;2166,292;24;Financials;Major Banks;Europe;France;France;;Jean-Laurent Bonnafé;http://www.forbes.com/companies/bnp-paribas/
Daimler;75,406;165,747;9,3415;235,907;24;Consumer Discretionary;Auto & Truck Manufacturers;Europe;Germany;Germany;;Dieter Zetsche;http://www.forbes.com/companies/daimler/
AXA Group;61,857;129,808;5,8906;965,384;26;Financials;Diversified Insurance;Europe;France;France;;Henri De Castries;http://www.forbes.com/companies/axa-group/
Alphabet;500,077;77,231;17,04;149,747;27;Information Technology;Computer Services;North America;United States;California;California;Larry Page;http://www.forbes.com/companies/alphabet/
Chevron;192,258;129,866;4,587;266,103;28;Energy;Oil & Gas Operations;North America;United States;California;California;John Watson;http://www.forbes.com/companies/chevron/
Japan Post Holdings;62,57;129,795;4,3938;2450,733;29;Financials;Life & Health Insurance;Asia;Japan;Japan;;Masatsugu Nagato;http://www.forbes.com/companies/japan-post-holdings/
Total;121,917;143,359;5,0341;224,484;30;Energy;Oil & Gas Operations;Europe;France;France;;Patrick Pouyanné;http://www.forbes.com/companies/total/
Sinopec;89,941;283,613;5,124;223,661;31;Energy;Oil & Gas Operations;Asia;China;China;;Qingde Sun;http://www.forbes.com/companies/sinopec/
Johnson & Johnson;312,575;70,236;15,381;133,411;32;Health Care;Medical Equipment & Supplies;North America;United States;New Jersey;New Jersey;Alex Gorsky;http://www.forbes.com/companies/johnson-johnson/
Nestle;235,701;92,208;9,4155;123,868;33;Consumer Staples;Food Processing;Europe;Switzerland;Switzerland;;Paul Bulcke;http://www.forbes.com/companies/nestle/
Mitsubishi UFJ Financial;73,516;44,244;7,9219;2458,766;34;Financials;Regional Banks;Asia;Japan;Japan;;Nobuyuki Hirano;http://www.forbes.com/companies/mitsubishi-ufj-financial/
Comcast;148,187;74,51;8,163;166,574;35;Consumer Discretionary;Broadcasting & Cable;North America;United States;Pennsylvania;Pennsylvania;Brian Roberts;http://www.forbes.com/companies/comcast/
Bank of Communications;55,652;56,985;10,6015;1101,91;36;Financials;Regional Banks;Asia;China;China;;Qing Hua;http://www.forbes.com/companies/bank-of-communications/
Banco Santander;72,526;49,786;6,6223;1455,924;37;Financials;Major Banks;Europe;Spain;Spain;;José Álvarez;http://www.forbes.com/companies/banco-santander/
China Merchants Bank;66,759;48,189;9,2025;843,134;38;Financials;Regional Banks;Asia;China;China;;Jian Li;http://www.forbes.com/companies/china-merchants-bank/
Procter & Gamble;218,935;69,374;8,446;129,143;39;Consumer Staples;Household/Personal Care;North America;United States;Ohio;Ohio;David Taylor;http://www.forbes.com/companies/procter-gamble/
Ford Motor;54,196;149,558;7,373;224,925;40;Consumer Discretionary;Auto & Truck Manufacturers;North America;United States;Michigan;Michigan;Mark Fields;http://www.forbes.com/companies/ford-motor/
IBM;142,691;80,836;12,883;118,856;41;Information Technology;Computer Services;North America;United States;New York;New York;Virginia Rometty;http://www.forbes.com/companies/ibm/
UnitedHealth Group;127,514;165,885;6,011;117,855;41;Health Care;Managed Health Care;North America;United States;Minnesota;Minnesota;Stephen Hemsley;http://www.forbes.com/companies/unitedhealth-group/
General Motors;49,552;152,356;9,687;194,52;43;Consumer Discretionary;Auto & Truck Manufacturers;North America;United States;Michigan;Michigan;Mary Barra;http://www.forbes.com/companies/general-motors/
Nippon Telegraph & Tel;94,54;94,232;5,5523;172,488;44;Telecommunication Services;Telecommunications services;Asia;Japan;Japan;;Hiroo Unoura;http://www.forbes.com/companies/nippon-tel-tel/
BMW Group;60,382;102,215;7,0627;197,883;45;Consumer Discretionary;Auto & Truck Manufacturers;Europe;Germany;Germany;;Harald Krüger;http://www.forbes.com/companies/bmw-group/
Pfizer;205,746;48,851;7,743;167,46;46;Health Care;Pharmaceuticals;North America;United States;New York;New York;Ian Read;http://www.forbes.com/companies/pfizer/
Novartis;203,776;49,428;17,6454;131,905;47;Health Care;Pharmaceuticals;Europe;Switzerland;Switzerland;;Joseph Jimenez;http://www.forbes.com/companies/novartis/
MetLife;51,434;68,017;5,268;884,178;48;Financials;Diversified Insurance;North America;United States;New York;New York;Steven Kandarian;http://www.forbes.com/companies/metlife/
China Life Insurance;55,652;81,487;5,5731;377,035;49;Financials;Life & Health Insurance;Asia;China;China;;Zhi Xia;http://www.forbes.com/companies/china-life-insurance/
Royal Dutch Shell;209,987;264,871;2,0751;340,157;50;Energy;Oil & Gas Operations;Europe;Netherlands;Netherlands;;Ben Van Beurden;http://www.forbes.com/companies/royal-dutch-shell/
Siemens;91,812;85,511;6,4639;133,926;51;Industrials;Conglomerates;Europe;Germany;Germany;;Josef Kaeser;http://www.forbes.com/companies/siemens/
Royal Bank of Canada;90,722;33,09;7,6505;852,977;52;Financials;Major Banks;North America;Canada;Canada;;David Mckay;http://www.forbes.com/companies/royal-bank-of-canada/
Gazprom;57,146;102,051;4,8774;250,24;53;Energy;Oil & Gas Operations;Asia;Russia;Russia;;Alexei Miller;http://www.forbes.com/companies/gazprom/
UBS;63,689;39,93;6,4411;941,877;54;Financials;Regional Banks;Europe;Switzerland;Switzerland;;Sergio Ermotti;http://www.forbes.com/companies/ubs/
ING Group;49,891;55,674;5,4636;914,414;55;Financials;Major Banks;Europe;Netherlands;Netherlands;;Ralph Hamers;http://www.forbes.com/companies/ing-group/
Anheuser-Busch InBev;204,589;43,604;8,2672;136,532;56;Consumer Staples;Beverages;Europe;Belgium;Belgium;;Carlos De Brito;http://www.forbes.com/companies/anheuser-busch-inbev/
Shanghai Pudong Development;55,209;41,393;8,0514;776,819;57;Financials;Regional Banks;Asia;China;China;;Guang Geng;http://www.forbes.com/companies/shanghai-pudong-development/
Commonwealth Bank;99,171;33,133;6,863;657,032;58;Financials;Major Banks;Australia;Australia;Australia;;Ian Narev;http://www.forbes.com/companies/commonwealth-bank/
Industrial Bank;47,33;45,031;8,0431;832,046;59;Financials;Regional Banks;Asia;China;China;;Jian Gao;http://www.forbes.com/companies/industrial-bank/
Intel;149,259;56,276;11,474;105,467;60;Information Technology;Semiconductors;North America;United States;;;Brian Krzanich;http://www.forbes.com/companies/intel/
Citic Pacific;45,38;53,764;5,3933;877,829;61;Materials;Iron & Steel;Asia;Hong Kong;Hong Kong;;Zhen Chang;http://www.forbes.com/companies/citic-pacific/
CVS Health;110,802;153,29;5,202;93,657;62;Consumer Staples;Drug Retail;North America;United States;Rhode Island;Rhode Island;Larry Merlo;http://www.forbes.com/companies/cvs-health/
Cisco Systems;141,654;49,589;10,333;112,642;63;Information Technology;Communications Equipment;North America;United States;California;California;Charles Robbins;http://www.forbes.com/companies/cisco-systems/
Itaú Unibanco Holding;50,476;50,919;7,7059;324,076;63;Financials;Regional Banks;South America;Brazil;Brazil;;Roberto Setúbal;http://www.forbes.com/companies/itau-unibanco-holding/
China Minsheng Banking;49,268;42,359;7,3553;696,517;65;Financials;Regional Banks;Asia;China;China;;Qing Duan;http://www.forbes.com/companies/china-minsheng-banking/
Prudential;53,392;63,106;3,9402;558,729;66;Financials;Life & Health Insurance;Europe;United Kingdom;United Kingdom;;Cheick Thiam;http://www.forbes.com/companies/prudential/
TD Bank Group;81,818;29,815;6,228;833,956;67;Financials;Major Banks;North America;Canada;Canada;;Bharat Masrani;http://www.forbes.com/companies/td-bank-group/
General Electric;285,611;122,364;1,678;492,692;68;Industrials;Conglomerates;North America;United States;Connecticut;Connecticut;Jeffrey Immelt;http://www.forbes.com/companies/general-electric/
Softbank;67,137;74,747;4,2778;178,708;69;Telecommunication Services;Telecommunications services;Asia;Japan;Japan;;Masayoshi Son;http://www.forbes.com/companies/softbank/
Sumitomo Mitsui Financial;48,165;39,618;5,7625;1558,335;70;Financials;Regional Banks;Asia;Japan;Japan;;Masayuki Oku;http://www.forbes.com/companies/sumitomo-mitsui-financial/
Walt Disney;169,308;53,902;9,08;90,121;71;Consumer Discretionary;Broadcasting & Cable;North America;United States;California;California;Robert Iger;http://www.forbes.com/companies/walt-disney/
Westpac Banking Group;80,587;30,193;6,2684;570,984;72;Financials;Major Banks;Australia;Australia;Australia;;Brian Hartzer;http://www.forbes.com/companies/westpac-banking/
Deutsche Telekom;81,762;76,768;3,6084;156,34;73;Telecommunication Services;Telecommunications services;Europe;Germany;Germany;;Timotheus Höttges;http://www.forbes.com/companies/deutsche-telekom/
Honda Motor;51,09;118,094;4,4258;154,522;74;Consumer Discretionary;Auto & Truck Manufacturers;Asia;Japan;Japan;;Takahiro Hachigo;http://www.forbes.com/companies/honda-motor/
Rosneft;51,119;80,751;5,7912;139,55;75;Energy;Oil & Gas Operations;Asia;Russia;Russia;;Igor Sechin;http://www.forbes.com/companies/rosneft/
Boeing;85,321;96,114;5,172;94,408;76;Industrials;Aerospace & Defense;North America;United States;Illinois;Illinois;Dennis Muilenburg;http://www.forbes.com/companies/boeing/
Goldman Sachs Group;72,964;32,792;4,374;861,395;77;Financials;Investment Services;North America;United States;New York;New York;Lloyd Blankfein;http://www.forbes.com/companies/goldman-sachs-group/
Banco Bradesco;41,505;65,869;5,1461;257,544;78;Financials;Regional Banks;South America;Brazil;Brazil;;Luiz Trabuco Cappi;http://www.forbes.com/companies/banco-bradesco/
China Citic Bank;40,424;41,187;6,5597;788,84;79;Financials;Regional Banks;Asia;China;China;;Zhen Chang;http://www.forbes.com/companies/china-citic-bank/
Roche Holding;222,178;50,001;9,2047;75,687;80;Health Care;Pharmaceuticals;Europe;Switzerland;Switzerland;;Severin Schwan;http://www.forbes.com/companies/roche/
Prudential Financial;35,356;53,223;5,587;757,388;81;Financials;Life & Health Insurance;North America;United States;New Jersey;New Jersey;John Strangfeld;http://www.forbes.com/companies/prudential-financial/
Oracle;168,899;37,159;8,844;104,894;82;Information Technology;Software & Programming;North America;United States;California;California;Safra Catz;http://www.forbes.com/companies/oracle/
Coca-Cola;192,803;43,488;7,277;91,263;83;Consumer Staples;Beverages;North America;United States;Georgia;Georgia;Ahmet Kent;http://www.forbes.com/companies/coca-cola/
ANZ;54,888;31,099;5,8668;625,801;84;Financials;Major Banks;Australia;Australia;Australia;;Shayne Elliott;http://www.forbes.com/companies/anz/
Nissan Motor;42,914;101,018;4,7214;147,363;85;Consumer Discretionary;Auto & Truck Manufacturers;Asia;Japan;Japan;;Carlos Ghosn;http://www.forbes.com/companies/nissan-motor/
Morgan Stanley;53,683;32,13;4,865;807,715;86;Financials;Investment Services;North America;United States;New York;New York;James Gorman;http://www.forbes.com/companies/morgan-stanley/
American International Group;63,709;58,33;2,179;496,943;87;Financials;Diversified Insurance;North America;United States;New York;New York;Peter Hancock;http://www.forbes.com/companies/american-international-group/
National Australia Bank;56,482;28,785;4,9624;671,612;88;Financials;Major Banks;Australia;Australia;Australia;;Andrew Thorburn;http://www.forbes.com/companies/national-australia-bank/
Sanofi;115,374;40,473;4,7539;111,151;89;Health Care;Pharmaceuticals;Europe;France;France;;Olivier Brandicourt;http://www.forbes.com/companies/sanofi/
PepsiCo;147,302;62,698;5,162;70,019;90;Consumer Staples;Beverages;North America;United States;New York;New York;Indra Nooyi;http://www.forbes.com/companies/pepsico/
Bank of Nova Scotia;61,737;24,395;5,4719;653,482;91;Financials;Major Banks;North America;Canada;Canada;;Brian Porter;http://www.forbes.com/companies/bank-of-nova-scotia/
Intesa Sanpaolo;46,409;39,064;3,1427;734,878;92;Financials;Regional Banks;Europe;Italy;Italy;;Carlo Messina;http://www.forbes.com/companies/intesa-sanpaolo/
Merck;157,153;38,969;4,442;101,779;93;Health Care;Pharmaceuticals;North America;United States;New Jersey;New Jersey;Kenneth Frazier;http://www.forbes.com/companies/merck-co/
BASF;73,229;78,122;4,4213;80,07;94;Materials;Diversified Chemicals;Europe;Germany;Germany;;Kurt Bock;http://www.forbes.com/companies/basf/
American Express;63,184;34,594;5,026;159;95;Financials;Consumer Financial Services;North America;United States;New York;New York;Kenneth Chenault;http://www.forbes.com/companies/american-express/
United Technologies;88,442;59,126;4,044;87,484;95;Industrials;Conglomerates;North America;United States;Connecticut;Connecticut;Gregory Hayes;http://www.forbes.com/companies/united-technologies/
Bayer;102,527;51,634;4,51;84,637;97;Materials;Diversified Chemicals;Europe;Germany;Germany;;Werner Baumann;http://www.forbes.com/companies/bayer/
Korea Electric Power;33,064;52,092;11,7415;149,467;97;Utilities;Electric Utilities;Asia;South Korea;South Korea;;Hwan-Eik Cho;http://www.forbes.com/companies/korea-electric-power/
US Bancorp;74,996;21,12;5,816;428,638;97;Financials;Major Banks;North America;United States;Minnesota;Minnesota;Richard Davis;http://www.forbes.com/companies/us-bancorp/
GlaxoSmithKline;104,243;36,55;12,8672;78,774;100;Health Care;Pharmaceuticals;Europe;United Kingdom;United Kingdom;;Andrew Witty;http://www.forbes.com/companies/glaxosmithkline/
Munich Re;34,142;63,517;3,4465;295,683;101;Financials;Diversified Insurance;Europe;Germany;Germany;;Joachim Wenning;http://www.forbes.com/companies/munich-re/
EADS;50,877;71,47;2,9896;122,359;102;Industrials;Aerospace & Defense;Europe;France;France;;Thomas Enders;http://www.forbes.com/companies/eads/
Sberbank;39,195;42,563;3,636;374,268;102;Financials;Regional Banks;Asia;Russia;Russia;;Herman Gref;http://www.forbes.com/companies/sberbank/
Enel;44,569;76,917;2,4376;179,005;104;Utilities;Electric Utilities;Europe;Italy;Italy;;Francesco Starace;http://www.forbes.com/companies/enel/
Telefónica;55,197;52,362;3,044;133,587;104;Telecommunication Services;Telecommunications services;Europe;Spain;Spain;;José María López;http://www.forbes.com/companies/telefonica/
Mizuho Financial;40,691;25,953;5,0238;1625,482;106;Financials;Major Banks;Asia;Japan;Japan;;Yasuhiro Sato;http://www.forbes.com/companies/mizuho-financial/
Walgreens Boots Alliance;86,571;116,534;3,368;66,385;107;Consumer Staples;Drug Retail;North America;United States;Illinois;Illinois;Stefano Pessina;http://www.forbes.com/companies/walgreens-boots-alliance/
Hyundai Motor;28,938;81,25;5,67;141,033;108;Consumer Discretionary;Auto & Truck Manufacturers;Asia;South Korea;South Korea;;Gab-Han Yoon;http://www.forbes.com/companies/hyundai-motor/
Unilever;137,213;59,074;5,444;56,811;109;Consumer Staples;Household/Personal Care;Europe;Netherlands;Netherlands;;Paulus Polman;http://www.forbes.com/companies/unilever/
Credit Agricole;29,904;38,176;3,899;1661,272;110;Financials;Regional Banks;Europe;France;France;;Philippe Brassac;http://www.forbes.com/companies/credit-agricole/
Dow Chemical;59,019;48,77;7,634;68,026;111;Materials;Diversified Chemicals;North America;United States;Michigan;Michigan;Andrew Liveris;http://www.forbes.com/companies/dow-chemical/
Home Depot;169,777;88,519;7,009;42,549;112;Consumer Discretionary;Home Improvement Retail;North America;United States;Georgia;Georgia;Craig Menear;http://www.forbes.com/companies/home-depot/
Saudi Basic Industries;63,468;39,766;5,0076;87,434;113;Materials;Diversified Chemicals;Asia;Saudi Arabia;Saudi Arabia;;Yousef Al-Benyan;http://www.forbes.com/companies/saudi-basic-industries/
China State Construction Engineering;25,551;135,02;4,1466;165,607;114;Industrials;Construction Services;Asia;China;China;;Qing Guan;http://www.forbes.com/companies/china-state-construction-engineering/
BBVA-Banco Bilbao Vizcaya;46,875;25,819;2,9298;814,81;115;Financials;Regional Banks;Europe;Spain;Spain;;D. Carlos Vila,;http://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/
Société Générale;32,464;28,432;4,4368;1449,559;115;Financials;Major Banks;Europe;France;France;;Frédéric Oudéa;http://www.forbes.com/companies/societe-generale/
Hon Hai Precision;39,202;141,152;4,6251;70,274;117;Information Technology;Electronics;Asia;Taiwan;Taiwan;;Terry Gou;http://www.forbes.com/companies/hon-hai-precision/
Gilead Sciences;138,078;32,17;18,108;51,839;118;Health Care;Biotechs;North America;United States;California;California;John Milligan;http://www.forbes.com/companies/gilead-sciences/
Swiss Re;35,449;35,658;4,5946;189,557;118;Financials;Diversified Insurance;Europe;Switzerland;Switzerland;;Michel Liès;http://www.forbes.com/companies/swiss-re/
SAIC Motor;34,437;101,922;4,6165;78,79;120;Consumer Discretionary;Auto & Truck Manufacturers;Asia;China;China;;Hong Chen;http://www.forbes.com/companies/saic-motor/
Reliance Industries;50,589;42,239;4,2202;91,542;121;Energy;Oil & Gas Operations;Asia;India;India;;Mukesh Ambani;http://www.forbes.com/companies/reliance-industries/
LukOil;36,81;90,441;4,8033;69,62;122;Energy;Oil & Gas Operations;Asia;Russia;Russia;;Vagit Alekperov;http://www.forbes.com/companies/lukoil/
Capital One Financial;39,221;25,015;4,03;334,048;123;Financials;Consumer Financial Services;North America;United States;Virginia;Virginia;Richard Fairbank;http://www.forbes.com/companies/capital-one-financial/
China Telecom;41,006;52,707;3,197;96,951;124;Telecommunication Services;Telecommunications services;Asia;China;China;;Jie Yang;http://www.forbes.com/companies/china-telecom/
Generali Group;24,093;97,107;2,2533;539,299;125;Financials;Diversified Insurance;Europe;Italy;Italy;;Philippe Donnet;http://www.forbes.com/companies/generali-group/
AIA Group;72,696;23,652;2,6913;165,97;126;Financials;Life & Health Insurance;Asia;Hong Kong;Hong Kong;;Mark Tucker;http://www.forbes.com/companies/aia-group/
CK Hutchison;48,218;21,51;5,8962;133,281;127;Industrials;Conglomerates;Asia;Hong Kong;Hong Kong;;Kin Fok;http://www.forbes.com/companies/ck-hutchison/
Zurich Insurance Group;33,092;60,847;1,7989;364,199;127;Financials;Diversified Insurance;Europe;Switzerland;Switzerland;;Mario Greco;http://www.forbes.com/companies/zurich-insurance-group/
Medtronic;110,668;28,57;2,434;102,706;129;Health Care;Medical Equipment & Supplies;North America;United States;Minnesota;Minnesota;Omar Ishrak;http://www.forbes.com/companies/medtronic/
Orange;44,498;44,619;2,6681;100,914;130;Telecommunication Services;Telecommunications services;Europe;France;France;;Stéphane Richard;http://www.forbes.com/companies/orange/
Amgen;122,398;21,416;6,939;71,576;131;Health Care;Biotechs;North America;United States;California;California;Robert Bradway;http://www.forbes.com/companies/amgen/
China Pacific Insurance;37,105;39,3;2,8206;139,458;131;Financials;Life & Health Insurance;Asia;China;China;;Huo Lianhong;http://www.forbes.com/companies/china-pacific-insurance/
Mondel?z International;65,695;29,636;7,267;62,843;133;Consumer Staples;Food Processing;North America;United States;Illinois;Illinois;Irene Rosenfeld;http://www.forbes.com/companies/mondelez-international/
CNOOC;58,022;27,288;3,2373;102,31;134;Energy;Oil & Gas Operations;Asia;China;China;;Fan Li;http://www.forbes.com/companies/cnooc/
Allergan;90,539;18,276;3,9152;135,841;135;Health Care;Pharmaceuticals;North America;United States;California;California;Brenton Saunders;http://www.forbes.com/companies/allergan/
Mitsubishi Corp;27,689;59,815;2,6865;135,664;136;Industrials;Trading Companies;Asia;Japan;Japan;;Ken Kobayashi;http://www.forbes.com/companies/mitsubishi-corp/
Taiwan Semiconductor;125,605;25,661;9,0939;50,462;137;Information Technology;Semiconductors;Asia;Taiwan;Taiwan;;Te Liu;http://www.forbes.com/companies/taiwan-semiconductor/
Honeywell International;86,922;38,581;4,768;49,316;138;Industrials;Conglomerates;North America;United States;New Jersey;New Jersey;David Cote;http://www.forbes.com/companies/honeywell-international/
China Everbright Bank;25,667;27,061;4,7064;487,82;139;Financials;Regional Banks;Asia;China;China;;Hao Cai;http://www.forbes.com/companies/china-everbright-bank/
Iberdrola;44,087;34,841;2,6853;113,697;139;Utilities;Electric Utilities;Europe;Spain;Spain;;José Ignacio Galán;http://www.forbes.com/companies/iberdrola/
Phillips 66;46,297;85,174;4,221;48,58;141;Energy;Oil & Gas Operations;North America;United States;Texas;Texas;Greg Garland;http://www.forbes.com/companies/phillips-66/
América Móvil;51,93;56,311;2,2075;75,067;142;Telecommunication Services;Telecommunications services;North America;Mexico;Mexico;;Daniel Aboumrad;http://www.forbes.com/companies/america-movil/
Bank of Montreal;41,789;18,232;3,4284;496,922;143;Financials;Major Banks;North America;Canada;Canada;;William Downe;http://www.forbes.com/companies/bank-of-montreal/
Lockheed Martin;69,294;46,132;3,605;49,128;144;Industrials;Aerospace & Defense;North America;United States;Maryland;Maryland;Marillyn Hewson;http://www.forbes.com/companies/lockheed-martin/
Express Scripts;46,543;101,752;2,4764;54,008;145;Health Care;Healthcare Services;North America;United States;Missouri;Missouri;Timothy Wentworth;http://www.forbes.com/companies/express-scripts/
United Parcel Service;93,295;58,05;4,844;38,311;146;Industrials;Air Courier;North America;United States;Georgia;Georgia;David Abney;http://www.forbes.com/companies/united-parcel-service/
Renault;29,032;50,264;3,1305;98,424;147;Consumer Discretionary;Auto & Truck Manufacturers;Europe;France;France;;Carlos Ghosn;http://www.forbes.com/companies/renault/
Duke Energy;53,052;23,441;2,819;121,156;148;Utilities;Electric Utilities;North America;United States;North Carolina;North Carolina;Lynn Good;http://www.forbes.com/companies/duke-energy/
State Bank of India;23,323;41,771;2,4399;427,1;149;Financials;Regional Banks;Asia;India;India;;Arundhati Bhattacharya;http://www.forbes.com/companies/state-bank-of-india/
Nordea Bank;39,898;16,127;4,0602;702,903;150;Financials;Regional Banks;Europe;Sweden;Sweden;;Casper von Koskull;http://www.forbes.com/companies/nordea-bank/
China Communications Construction;26,498;62,629;2,4683;112,58;151;Industrials;Construction Services;Asia;China;China;;Xiang Liu;http://www.forbes.com/companies/china-communications-construction/
Anthem;38,748;79,24;2,56;61,718;152;Health Care;Managed Health Care;North America;United States;Indiana;Indiana;Joseph Swedish;http://www.forbes.com/companies/anthem/
Banco do Brasil;17,022;65,553;4,3108;354,156;153;Financials;Regional Banks;South America;Brazil;Brazil;;Alexandre Abreu;http://www.forbes.com/companies/banco-do-brasil/
PNC Financial Services;43,957;15,983;4,017;360,985;153;Financials;Major Banks;North America;United States;Pennsylvania;Pennsylvania;William Demchak;http://www.forbes.com/companies/pnc-financial-services/
Caterpillar;45,607;47,011;2,102;78,497;155;Industrials;Heavy Equipment;North America;United States;Tennessee;Tennessee;Douglas Oberhelman;http://www.forbes.com/companies/caterpillar/
Time Warner;60,565;28,118;3,824;63,848;156;Consumer Discretionary;Broadcasting & Cable;North America;United States;New York;New York;Jeff Bewkes;http://www.forbes.com/companies/time-warner/
KDDI;81,631;37,337;4,0098;46,484;157;Telecommunication Services;Telecommunications services;Asia;Japan;Japan;;Tadashi Onodera;http://www.forbes.com/companies/kddi/
AbbVie;99,361;22,859;5,117;53,05;158;Health Care;Pharmaceuticals;North America;United States;Illinois;Illinois;Richard Gonzalez;http://www.forbes.com/companies/abbvie/
McKesson;40,746;189,131;1,959;55,087;159;Health Care;Pharmaceuticals;North America;United States;California;California;John Hammergren;http://www.forbes.com/companies/mckesson/
National Grid;51,444;24,232;3,3326;83,293;160;Utilities;Electric Utilities;Europe;United Kingdom;United Kingdom;;John Pettigrew;http://www.forbes.com/companies/national-grid/
Bank of New York Mellon;44,181;15,429;3,161;372,87;161;Financials;Major Banks;North America;United States;New York;New York;Gerald Hassell;http://www.forbes.com/companies/bank-of-ny-mellon/
VINCI;43,025;43,426;2,2689;68,648;162;Industrials;Construction Services;Europe;France;France;;Xavier Huillard;http://www.forbes.com/companies/vinci/
China Railway Group;25,467;96,001;1,9454;109,903;163;Industrials;Construction Services;Asia;China;China;;Dai Hegen;http://www.forbes.com/companies/china-railway-group/
Target;49,397;73,785;3,363;40,262;164;Consumer Discretionary;Discount Stores;North America;United States;Minnesota;Minnesota;Brian Cornell;http://www.forbes.com/companies/target/
Travelers;32,409;26,852;3,414;101,956;165;Financials;Property & Casualty Insurance;North America;United States;New York;New York;Alan Schnitzer;http://www.forbes.com/companies/travelers-cos/
Hewlett Packard Enterprise;30,023;51,831;2,461;77,352;166;Information Technology;Computer Hardware;North America;United States;;;Margaret Whitman;http://www.forbes.com/companies/hewlett-packard-enterprise/
China Shenhua Energy;43,089;27,251;2,5873;85,309;167;Materials;Diversified Metals & Mining;Asia;China;China;;Wen Sun;http://www.forbes.com/companies/china-shenhua-energy/
Aetna;40,248;60,368;2,3902;53,424;168;Health Care;Managed Health Care;North America;United States;Connecticut;Connecticut;Mark Bertolini;http://www.forbes.com/companies/aetna/
